_id,OID,Tipo Organismo,INCISO,UE,Nombre Inciso,Nombre UE,Nombre Organismo,DENOMINACIÓN DEL CARGO,ESCALAFON,GRADO,2022.0
34,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Administrativo,C,10,67139.95
35,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Administrativo I,C,9,65025.23
36,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Administrativo I,C,8,63203.89
37,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Administrativo II,C,8,63203.89
38,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Administrativo,C,7,61627.39
39,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Administrativo III,C,7,61627.39
40,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Administrativo IV,C,6,59300.81
41,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Administrativo III,C,6,59300.81
42,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Administrativo VI,C,4,56416.59
43,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Administrativo,C,1,52823.66
44,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Administrativo VIII,C,1,52823.66
45,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Administrativo IX,C,1,52823.66
46,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Administrativo XIV,C,1,52823.66
47,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería","Gerente Técnico II, Director de División",D,14,78224.71
48,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Especialista III,D,13,74941.49
49,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Especialista III,D,12,72079.73
50,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Especialista IV,D,11,69580.53
51,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Especialista V,D,10,67139.95
52,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Especialista VI,D,9,65025.23
53,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Especialista VII,D,8,63203.89
